scan_date,analysis_date,ticker,action,confidence,trend_score,free_tier,halt,entry_bid,stop_loss,target,momentum,chip_analysis,risk_factors,data_quality_flags
2026-04-20,2026-04-17,6829,LONG,71,32,True,False,196.01,197.0,206.85,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:73
2026-04-20,2026-04-17,5228,LONG,68,32,True,False,36.91,37.1,38.96,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:61
2026-04-20,2026-04-17,6139,LONG,64,32,True,False,31.04,31.200000762939453,32.76,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:58
2026-04-20,2026-04-17,6278,LONG,59,32,True,False,156.22,157.0,164.85,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,6245,LONG,71,30,True,False,82.39,82.8,86.94,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:54
2026-04-20,2026-04-17,6417,LONG,69,30,True,False,121.89,122.5,128.62,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:55
2026-04-20,2026-04-17,3437,LONG,68,30,True,False,27.06,27.200000762939453,28.56,3437 艾訊目前動能評分不佳，量能與收盤強度偏弱，RSI動能區間與趨勢延續性缺乏。,籌碼面缺乏外資與主力買盤集中度，僅有融資結構略有分數，顯示籌碼力量不足。,儘管沒有明顯的隔日沖、長上影或過熱乖離等風險扣分，但籌碼與動能指標分數皆低，可能缺乏進一步上漲的支撐力道。,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,3504,LONG,67,30,True,False,67.06,67.4,70.77,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,5236,LONG,66,30,True,False,45.97,46.20000076293945,48.51,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:58
2026-04-20,2026-04-17,5244,LONG,66,30,True,False,45.97,46.20000076293945,48.51,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:64
2026-04-20,2026-04-17,8182,LONG,66,30,True,False,38.85,39.05,41.0,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:61
2026-04-20,2026-04-17,3588,LONG,64,30,True,False,238.3,239.5,251.48,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,3592,LONG,64,30,True,False,238.3,239.5,251.48,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,5243,LONG,64,30,True,False,45.97,46.20000076293945,48.51,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,6418,LONG,64,30,True,False,121.89,122.5,128.62,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,6432,LONG,64,30,True,False,121.89,122.5,128.62,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,6854,LONG,64,30,True,False,166.66,167.5,175.88,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,6862,LONG,63,30,True,False,166.66,167.5,175.88,儘管近期量能與收盤強度表現不佳，但VWAP 5日優勢與MA20趨勢上升顯示價格動能具備支撐。,籌碼指標普遍得分偏低，尤其買盤廣度與集中度皆為零分，顯示目前缺乏明顯的主力買盤集中。,籌碼面分散且未見主力積極介入，同時RSI動能區間與趨勢延續性不足，增加了後續上漲的挑戰性。,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,6146,LONG,62,30,True,False,219.9,221.0,232.05,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:53
2026-04-20,2026-04-17,3434,LONG,61,30,True,False,27.06,27.200000762939453,28.56,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,3438,LONG,61,30,True,False,27.06,27.200000762939453,28.56,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,3511,LONG,61,30,True,False,67.06,67.4000015258789,70.77,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-20,2026-04-17,3555,LONG,61,30,True,False,258.7,260.0,273.0,,,,NO_BROKER_DATA|scoring_version:v2
