scan_date,analysis_date,ticker,action,confidence,trend_score,free_tier,halt,entry_bid,stop_loss,target,momentum,chip_analysis,risk_factors,data_quality_flags
2026-04-21,2026-04-21,3044,LONG,78,38,True,False,112.93,113.5,119.18,3044目前動能表現相對疲弱，量能比率與RSI動能區間皆為0分，顯示量價配合度不高，短期缺乏強力上攻動能。,籌碼面缺乏明確主力買盤支持，付費版買盤廣度、集中度及免費版外資強度皆為0分，但融資結構表現尚可，顯示散戶籌碼可能相對穩定。,儘管信心分數中等偏高，但由於動能和籌碼指標普遍偏弱，且缺乏前三大買超券商數據，代表主力介入意願不明顯，可能影響股價未來上漲潛力。,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,3041,LONG,73,38,True,False,112.93,113.5,119.18,動能指標表現平淡，量能比率與RSI動能區間為零，但VWAP 5日優勢與量能遞增顯示短期買盤力量尚存。,籌碼面整體偏弱，付費版指標買盤廣度、集中度及隔日沖過濾均無分數，外資強度與借券壓力亦無顯著支持，僅融資結構獲得部分分數。,目前無明顯的隔日沖、長上影線、過熱乖離或融資追價等風險扣分項，但籌碼面數據偏弱且前三大買超券商無資料，顯示主力買盤不積極，為潛在風險。,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4904,WATCH,51,38,True,False,95.12,95.5999984741211,100.38,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4760,CAUTION,39,38,True,False,95.12,95.5999984741211,100.38,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4729,CAUTION,39,38,True,False,95.12,95.5999984741211,100.38,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4749,CAUTION,39,38,True,False,95.12,95.5999984741211,100.38,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4903,CAUTION,34,38,True,False,95.12,95.5999984741211,100.38,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,3322,WATCH,56,32,True,False,32.39,32.54999923706055,34.96,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:51
2026-04-21,2026-04-21,3317,WATCH,51,32,True,False,32.39,32.54999923706055,34.96,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,8081,WATCH,76,27,True,False,239.79,241.0,253.05,8081動能表現平平，雖RSI處於中性偏多區間，且近五日股價站穩MA20，但量能比率與趨勢延續性皆為0分，顯示量價未見明顯噴發跡象。,籌碼面缺乏亮點，買盤廣度、集中度、外資強度與借券壓力皆為0分，顯示主力買盤不積極，但融資結構表現尚可，尚無明顯籌碼壓力。,目前無明顯隔日沖、長上影線、過熱乖離或融資追價等風險標記，但需留意動能指標與籌碼指標均偏弱，顯示市場追價意願不高。,"NO_BROKER_DATA|scoring_version:v2|PERSIST_RISING:48,68,70"
2026-04-21,2026-04-21,2495,WATCH,65,27,True,False,40.94,41.150001525878906,43.21,動能指標表現平平，雖VWAP 5日優勢和RSI動能區間提供部分支撐，但量能不足且收盤強度與趨勢延續性不佳。,籌碼面普遍偏弱，外資強度低且集中度不足，但融資結構穩定顯示部分散戶情緒相對冷靜。,目前無顯著的隔日沖、長上影、過熱乖離或融資追價等風險標記，但MA20趨勢下降顯示短期壓力仍在，需留意股價距近期高點仍有較大差距。,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,2492,WATCH,65,27,True,False,40.94,41.150001525878906,43.21,股價動能不足，量能表現疲弱，RSI雖處中性區間，但多項動能指標顯示缺乏上攻力道。,籌碼面缺乏法人或主力資金的積極介入，外資與買盤廣度皆弱，僅融資結構呈現相對健康。,目前股價距離高點仍遠，且MA20趨勢下降，顯示短期趨勢偏弱，缺乏明確的向上動能與買盤支撐是主要風險。,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,8085,WATCH,57,27,True,False,239.79,241.0,253.05,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,8074,WATCH,57,27,True,False,239.79,241.0,253.05,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,8076,WATCH,57,27,True,False,239.79,241.0,253.05,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,8084,WATCH,57,27,True,False,239.79,241.0,253.05,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,2493,WATCH,55,27,True,False,40.94,41.150001525878906,43.21,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,3002,WATCH,53,27,True,False,40.94,41.150001525878906,43.21,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,2498,WATCH,53,27,True,False,40.94,41.150001525878906,43.21,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,6855,CAUTION,41,27,True,False,38.95,39.150001525878906,41.9,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,2332,WATCH,69,22,True,False,21.99,22.100000381469727,23.21,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:59
2026-04-21,2026-04-21,4912,WATCH,68,22,True,False,89.55,90.0,98.7,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:64
2026-04-21,2026-04-21,2340,WATCH,64,22,True,False,21.99,22.100000381469727,23.21,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,2331,WATCH,64,22,True,False,21.99,22.100000381469727,23.21,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,2353,WATCH,62,22,True,False,52.54,52.79999923706055,55.44,,,,NO_BROKER_DATA|scoring_version:v2|PERSIST_STABLE:62
2026-04-21,2026-04-21,2337,WATCH,60,22,True,False,21.99,22.100000381469727,23.21,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4909,WATCH,55,22,True,False,89.55,90.0,98.7,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4908,WATCH,55,22,True,False,89.55,90.0,98.7,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4905,WATCH,55,22,True,False,89.55,90.0,98.7,,,,NO_BROKER_DATA|scoring_version:v2
2026-04-21,2026-04-21,4588,WATCH,53,22,True,False,310.44,312.0,335.48,,,,NO_BROKER_DATA|scoring_version:v2
